Day,Average
-30,243.6
-29,217.1453487
-28,206.1940179
-27,206.1644457
-26,201.244766
-25,169.2786008
-24,177.9015964
-23,199.2565614
-22,192.0000619
-21,178.9035373
-20,163.574373
-19,158.6205278
-18,152.1011372
-17,169.1410554
-16,227.4088824
-15,253.4317105
-14,261.355828
-13,258.942951
-12,264.8455602
-10,264.6511095
-9,201.5
-8,271.3827381
-7,281.3803498
-6,280.3450886
-5,277.5166641
-4,257.7045076
-3,239.0536096
-2,227.4087813
-1,214.7420082
0,196.8107065
1,159.873196
2,120.8322
3,97.04766844
4,71.82339388
5,51.56205286
6,35.6366534
7,24.31933503
8,17.82562123
9,16.24989124
10,18.27204699
11,21.71221727
12,25.93193342
13,32.36802847
14,40.32187737
15,53.92325784
16,68.05903047
17,79.72975461
18,98.33024393
19,115.3719061
20,137.3195526
21,143.4167501
22,151.6837865
23,106.321343
24,119.9414327
25,138.4573888
26,139.5599563
27,168.7745148
28,168.3817483
29,171.8865897
30,172.221101
31,172.8467968
32,180.5945408
33,199.3699829
34,200.3053803
35,194.7305588
37,203.3758696
38,206.187664
39,213.8084091
40,217.5423725
41,216.2008081
43,215.9283372
44,220.4552157
46,227.3570496
47,214.0531963
48,215.8676608
49,219.2084328
50,218.3913903
51,212.9687299
54,209.7600118
55,197.2529033
56,195.0531427
58,194.884012
60,188.1583964
61,188.3724622
62,183.4091472
64,171.4950563
65,172.9706184
68,165.098012
69,178.1864014
72,187.2436923
75,188.1044817
76,190.1526228
77,198.211985
81,191.2074142
82,204.5996918
83,201.9007421
85,201.7737644
86,192.555312
89,193.2076764
91,185.8286427
93,188.30776
95,184.4307655
96,184.2627035
97,196.6137112
98,192.6837403
99,194.4727602
100,196.1488566
